Index,Time,Servo1,Servo2,Servo3,Servo4,Servo5,Servo6,Servo7,Servo8,Servo9,Servo10,Servo11,Servo12,Servo13,Servo14,Servo15,Servo16,Servo17,Servo18,Servo19,Servo20,Servo21,Servo22
1,500,500,500,640,360,500,500,330,670,500,500,500,500,835,165,830,170,500,500,70,930,500,500
2,600,560,620,640,360,500,453,330,671,500,550,500,500,835,165,830,170,500,500,70,930,500,500
3,600,560,563,640,211,500,228,330,803,500,563,500,500,835,165,830,170,500,500,70,930,500,500
4,100,560,563,640,211,500,228,330,803,500,563,500,500,835,165,830,170,500,500,70,930,500,500
5,1000,560,600,640,660,520,550,360,920,500,549,500,500,720,100,830,170,500,500,70,930,500,500
6,800,550,535,700,580,540,720,440,710,500,500,500,500,720,80,830,170,500,500,70,930,500,500
7,1000,470,500,715,490,340,510,530,780,500,500,500,500,750,165,830,170,500,500,70,930,500,500
8,200,470,500,715,490,340,510,530,780,500,500,500,500,750,165,830,170,500,500,70,930,500,500
9,800,465,440,550,330,210,420,650,820,500,500,500,500,760,165,865,220,500,500,70,930,500,500
10,100,465,440,550,330,210,420,650,820,500,500,500,500,760,165,865,220,500,500,70,930,500,500
11,400,440,445,440,355,220,480,640,780,500,500,500,500,835,165,830,170,500,500,70,930,500,500
12,100,440,445,440,355,220,480,640,780,500,500,500,500,835,165,830,170,500,500,70,930,500,500
13,500,466,445,660,320,490,460,650,740,500,500,500,500,835,165,830,170,500,500,70,930,500,500
14,600,465,450,800,400,600,600,540,665,500,500,500,500,835,165,830,170,500,500,70,930,500,500
15,600,394,440,775,360,730,500,183,700,437,500,500,500,835,165,829,170,500,500,70,930,500,500
16,600,394,440,630,360,560,440,180,800,440,500,500,500,835,165,829,170,500,500,70,930,500,500
17,800,500,500,640,360,507,493,290,710,500,500,500,499,835,165,830,170,500,500,70,930,500,500
