Index,Time,Servo1,Servo2,Servo3,Servo4,Servo5,Servo6,Servo7,Servo8,Servo9,Servo10,Servo11,Servo12,Servo13,Servo14,Servo15,Servo16,Servo17,Servo18,Servo19,Servo20,Servo21,Servo22
1,1000,500,500,640,360,507,493,290,710,500,500,501,500,875,267,835,145,500,577,40,987,500,700
2,500,500,500,640,360,507,493,290,710,500,500,501,500,723,267,608,145,413,577,15,987,166,700
3,800,500,500,640,360,507,493,290,710,500,500,501,500,609,267,856,145,649,577,126,987,166,700
4,200,500,500,640,360,507,493,290,710,500,500,501,500,609,267,856,145,649,577,126,987,166,700
5,300,500,500,640,360,507,493,290,710,500,500,501,500,609,267,856,145,649,577,126,987,430,700
6,300,500,500,640,360,507,493,290,710,500,500,501,500,609,267,856,145,649,577,126,987,430,700
7,500,500,500,640,360,507,493,290,710,500,500,501,500,638,267,855,145,423,577,80,987,420,700
8,200,500,500,640,360,507,493,290,710,500,500,501,500,638,267,855,145,423,577,80,987,420,700
9,200,500,500,640,360,507,493,290,710,500,500,501,500,638,267,855,145,423,577,80,987,300,700
10,500,500,500,640,360,507,493,290,710,500,500,501,500,733,267,855,145,423,577,13,987,300,700
