Index,Time,Servo1,Servo2,Servo3,Servo4,Servo5,Servo6,Servo7,Servo8,Servo9,Servo10,Servo11,Servo12,Servo13,Servo14,Servo15,Servo16,Servo17,Servo18,Servo19,Servo20,Servo21,Servo22
1,1000,500,500,640,360,500,500,330,670,500,500,500,500,835,165,830,170,480,520,70,930,430,570
2,1000,500,500,820,180,770,230,200,800,500,500,500,500,835,165,810,190,480,520,70,930,430,570
3,800,500,500,820,180,770,230,200,800,500,500,500,500,835,500,830,150,480,480,70,700,430,570
4,500,500,500,820,180,770,230,200,800,500,500,500,500,835,520,830,210,480,140,70,750,430,570
5,300,500,500,820,180,770,230,200,800,500,500,500,500,835,520,830,200,480,160,70,750,430,820
6,100,500,500,820,180,770,230,200,800,500,500,500,500,835,520,830,200,480,180,70,800,430,820
7,80,500,500,820,180,770,230,200,800,500,500,500,500,835,520,830,200,480,160,70,750,430,820
8,100,500,500,820,180,770,230,200,800,500,500,500,500,835,520,830,200,480,180,70,800,430,820
9,80,500,500,820,180,770,230,200,800,500,500,500,500,835,520,830,200,480,160,70,750,430,820
10,500,500,500,820,180,770,230,200,800,500,500,500,500,835,500,830,180,480,360,70,770,430,630
11,500,500,500,820,180,770,230,200,800,500,500,500,500,835,350,830,180,480,500,70,830,430,500
12,500,500,500,820,180,770,230,200,800,500,500,500,500,835,165,830,170,480,520,70,930,430,500
13,800,500,500,820,180,770,230,200,800,500,500,500,500,500,165,850,170,520,520,300,930,430,500
14,500,500,500,820,180,770,230,200,800,500,500,500,500,480,165,790,170,860,520,250,930,430,500
15,300,500,500,820,180,770,230,200,800,500,500,500,500,480,165,800,170,840,520,250,930,180,500
16,100,500,500,820,180,770,230,200,800,500,500,500,500,480,165,800,170,820,520,200,930,180,500
17,80,500,500,820,180,770,230,200,800,500,500,500,500,480,165,800,170,840,520,250,930,180,500
18,100,500,500,820,180,770,230,200,800,500,500,500,500,480,165,800,170,820,520,200,930,180,500
19,80,500,500,820,180,770,230,200,800,500,500,500,500,480,165,800,170,840,520,250,930,180,500
20,500,500,500,820,180,770,230,200,800,500,500,500,500,500,165,820,170,640,520,230,930,370,500
21,500,500,500,820,180,770,230,200,800,500,500,500,500,650,165,820,170,500,500,170,930,500,500
22,500,500,500,820,180,770,230,200,800,500,500,500,500,835,165,830,170,500,500,70,930,500,500
23,800,500,500,820,180,740,260,300,700,500,500,500,500,835,165,830,170,500,500,70,930,500,500
24,800,500,500,640,360,500,500,330,670,500,500,500,500,835,165,830,170,500,500,70,930,500,500
