Index,Time,Servo1,Servo2,Servo3,Servo4,Servo5,Servo6,Servo7,Servo8,Servo9,Servo10,Servo11,Servo12,Servo13,Servo14,Servo15,Servo16,Servo17,Servo18,Servo19,Servo20,Servo21,Servo22
1,1000,500,500,640,360,507,493,290,710,500,500,500,499,875,125,835,165,500,500,40,960,500,500
2,500,500,500,640,360,507,493,290,710,500,500,500,499,875,277,835,392,500,587,40,985,500,834
3,800,500,500,640,360,507,493,290,710,500,500,500,499,875,391,835,144,500,351,40,874,500,834
4,200,500,500,640,360,507,493,290,710,500,500,500,499,875,391,835,144,500,351,40,874,500,834
5,300,500,500,640,360,507,493,290,710,500,500,500,499,875,391,835,144,500,351,40,874,500,570
6,300,500,500,640,360,507,493,290,710,500,500,500,499,875,391,835,144,500,351,40,874,500,570
7,500,500,500,640,360,507,493,290,710,500,500,500,499,875,362,835,145,500,577,40,920,500,580
8,200,500,500,640,360,507,493,290,710,500,500,500,499,875,362,835,145,500,577,40,920,500,580
9,200,500,500,640,360,507,493,290,710,500,500,500,499,875,362,835,145,500,577,40,920,500,700
10,500,500,500,640,360,507,493,290,710,500,500,500,499,875,267,835,145,500,577,40,987,500,700
