Index,Time,Servo1,Servo2,Servo3,Servo4,Servo5,Servo6,Servo7,Servo8,Servo9,Servo10,Servo11,Servo12,Servo13,Servo14,Servo15,Servo16,Servo17,Servo18,Servo19,Servo20,Servo21,Servo22
1,500,500,500,640,360,500,500,330,670,500,500,500,500,835,165,830,170,500,500,70,930,500,500
2,800,550,630,640,406,500,506,330,687,500,550,500,500,835,165,830,170,500,500,70,930,500,500
3,600,550,563,640,280,500,341,330,736,500,563,500,500,835,165,830,170,500,500,70,930,500,500
4,1000,550,577,640,707,500,640,330,813,500,535,500,500,835,165,830,170,500,500,70,930,500,500
5,1000,547,560,747,653,560,701,413,760,500,500,500,500,835,165,830,170,500,500,70,930,500,500
6,1300,440,460,730,338,290,381,560,832,500,500,500,500,835,165,830,170,500,500,70,930,500,500
7,500,400,450,776,338,312,381,524,832,500,500,500,500,835,165,830,170,500,500,70,930,500,500
8,800,466,440,746,338,265,442,602,789,500,500,500,500,835,165,830,170,500,500,70,930,500,500
9,800,466,440,746,338,603,442,451,789,500,500,500,500,835,165,830,170,500,500,70,930,500,500
10,800,394,435,775,380,730,440,183,803,437,500,500,500,835,165,829,170,500,500,70,930,500,500
11,500,338,450,627,380,604,460,152,803,451,500,500,500,835,165,829,170,500,500,70,930,500,500
12,1000,500,500,640,360,507,493,290,710,500,500,500,499,835,165,830,170,500,500,70,930,500,500
